month,v10_min_ms,v10_max_ms,alpha,n_hours
1,0.0,3.0,0.0602,1350
1,3.0,5.0,0.0769,2734
1,5.0,7.0,0.0969,4433
1,7.0,9.0,0.1047,5768
1,9.0,11.0,0.1068,5229
1,11.0,14.0,0.1134,5343
1,14.0,inf,0.119,2671
2,0.0,3.0,0.0683,1253
2,3.0,5.0,0.0881,2834
2,5.0,7.0,0.1032,4636
2,7.0,9.0,0.1106,5526
2,9.0,11.0,0.1129,4669
2,11.0,14.0,0.1166,4598
2,14.0,inf,0.1214,1564
3,0.0,3.0,0.0869,2206
3,3.0,5.0,0.1123,4042
3,5.0,7.0,0.1207,5671
3,7.0,9.0,0.1217,6254
3,9.0,11.0,0.1171,4959
3,11.0,14.0,0.116,3414
3,14.0,inf,0.1175,945
4,0.0,3.0,0.0967,2336
4,3.0,5.0,0.1094,5752
4,5.0,7.0,0.1181,7139
4,7.0,9.0,0.1189,5966
4,9.0,11.0,0.1135,3381
4,11.0,14.0,0.1072,1725
4,14.0,inf,0.1059,341
5,0.0,3.0,0.0822,2847
5,3.0,5.0,0.1004,5886
5,5.0,7.0,0.106,6732
5,7.0,9.0,0.104,6109
5,9.0,11.0,0.0976,3718
5,11.0,14.0,0.093,1484
5,14.0,inf,0.0951,97
6,0.0,3.0,0.0676,2498
6,3.0,5.0,0.0832,5667
6,5.0,7.0,0.0912,7048
6,7.0,9.0,0.0901,5504
6,9.0,11.0,0.0844,3611
6,11.0,14.0,0.0824,1933
6,14.0,inf,0.0921,276
7,0.0,3.0,0.0764,2855
7,3.0,5.0,0.0826,5848
7,5.0,7.0,0.0825,7063
7,7.0,9.0,0.0804,5776
7,9.0,11.0,0.0779,3198
7,11.0,14.0,0.0781,1868
7,14.0,inf,0.0886,176
8,0.0,3.0,0.0615,2609
8,3.0,5.0,0.0718,5366
8,5.0,7.0,0.0781,7043
8,7.0,9.0,0.0777,5865
8,9.0,11.0,0.0761,3768
8,11.0,14.0,0.0801,1869
8,14.0,inf,0.0874,264
9,0.0,3.0,0.0525,1930
9,3.0,5.0,0.0698,3983
9,5.0,7.0,0.0749,5771
9,7.0,9.0,0.0784,6081
9,9.0,11.0,0.0803,4464
9,11.0,14.0,0.0829,3040
9,14.0,inf,0.0923,657
10,0.0,3.0,0.0592,1450
10,3.0,5.0,0.0702,3062
10,5.0,7.0,0.078,4826
10,7.0,9.0,0.0846,6148
10,9.0,11.0,0.0873,5550
10,11.0,14.0,0.0927,4495
10,14.0,inf,0.0987,1283
11,0.0,3.0,0.0484,1345
11,3.0,5.0,0.0633,2766
11,5.0,7.0,0.0742,4669
11,7.0,9.0,0.0827,5483
11,9.0,11.0,0.0908,5352
11,11.0,14.0,0.0979,4939
11,14.0,inf,0.1038,1366
12,0.0,3.0,0.0603,1486
12,3.0,5.0,0.0777,2977
12,5.0,7.0,0.0853,4614
12,7.0,9.0,0.0946,5568
12,9.0,11.0,0.1018,5284
12,11.0,14.0,0.108,4998
12,14.0,inf,0.1155,1857
